year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
2000,notification_to_incidence_ratio,Notification-to-incidence ratio,46.49202898550725,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2001,notification_to_incidence_ratio,Notification-to-incidence ratio,46.21329113924051,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2002,notification_to_incidence_ratio,Notification-to-incidence ratio,46.08218390804598,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2003,notification_to_incidence_ratio,Notification-to-incidence ratio,45.942926829268295,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2004,notification_to_incidence_ratio,Notification-to-incidence ratio,45.715,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2005,notification_to_incidence_ratio,Notification-to-incidence ratio,45.635555555555555,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2006,notification_to_incidence_ratio,Notification-to-incidence ratio,45.33138075313807,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2007,notification_to_incidence_ratio,Notification-to-incidence ratio,45.292765957446804,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2008,notification_to_incidence_ratio,Notification-to-incidence ratio,45.222171945701355,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2009,notification_to_incidence_ratio,Notification-to-incidence ratio,44.97685589519651,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2010,notification_to_incidence_ratio,Notification-to-incidence ratio,44.91945701357466,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2011,notification_to_incidence_ratio,Notification-to-incidence ratio,44.84792626728111,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
2012,notification_to_incidence_ratio,Notification-to-incidence ratio,44.92125603864734,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
